Pollinator_species,SEX,Interaction,Site_id,Plant_species,Year,Month,Day,Locality,Latitude,Longitude,Habitat,Sampling_method,Sampling_effort_minutes,Country,Sampling_area_square_meters
Bombus pascuorum,M,1,Planoi Site 1,Calluna vulgaris,2020,8,11,Braine-le-Comte,50.62931,4.18872,Carrière,Transect,20,Belgium,
Terrestribombus sp.,F,1,Planoi Site 1,Calluna vulgaris,2020,8,11,Braine-le-Comte,50.62931,4.18872,Carrière,Transect,20,Belgium,
Sphecodes ephippius,F,1,Planoi Site 1,Calluna vulgaris,2020,9,7,Braine-le-Comte,50.62931,4.18872,Carrière,Transect,20,Belgium,
Andrena fuscipes,F,2,Planoi Site 1,Calluna vulgaris,2020,9,7,Braine-le-Comte,50.62931,4.18872,Carrière,Transect,20,Belgium,
Colletes hederae,M,1,Rue du Castillon,Reseda lutea,2020,9,5,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Colletes hederae,M,#,Marais de Douvrain Ouest,Reseda lutea,2020,9,6,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Colletes hederae,M,1,Ravel 98,Melilotus alba,2020,8,19,Mons,50.4306,3.8892,Rudéral,Transect,20,Belgium,
Colletes daviesanus,F,3,Pré à Parchon,Tanacetum vulgare,2020,8,5,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Colletes similis,F,1,Pré à Parchon,Tanacetum vulgare,2020,8,5,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Colletes daviesanus,F,1,Rue du Carme,Tanacetum vulgare,2020,8,5,Beloeil,50.5178,3.6414,Rudéral,Transect,20,Belgium,
Colletes daviesanus,F,6,Rue là-dessous,Tanacetum vulgare,2020,7,19,Colfontaine,50.4266,3.8456,Rudéral,Transect,20,Belgium,
Colletes daviesanus,M,1,Rue là-dessous,Tanacetum vulgare,2020,7,19,Colfontaine,50.4266,3.8456,Rudéral,Transect,20,Belgium,
Andrena flavipes,F,3,Rue là-dessous,Tanacetum vulgare,2020,7,19,Colfontaine,50.4266,3.8456,Rudéral,Transect,20,Belgium,
Andrena flavipes,M,1,Rue là-dessous,Tanacetum vulgare,2020,7,19,Colfontaine,50.4266,3.8456,Rudéral,Transect,20,Belgium,
Megachile rotundata,F,1,Rue là-dessous,Tanacetum vulgare,2020,7,19,Colfontaine,50.4266,3.8456,Rudéral,Transect,20,Belgium,
Bombus lapidarius,W,1,Rue là-dessous,Tanacetum vulgare,2020,7,19,Colfontaine,50.4266,3.8456,Rudéral,Transect,20,Belgium,
Colletes daviesanus,4,4,Chemin de Roucourt,Chamomilla recutita,2020,7,12,Péruwelz,50.523,3.6099,Rudéral,Transect,20,Belgium,
Andrena flavipes,F,1,Chemin de Roucourt,Chamomilla recutita,2020,7,12,Péruwelz,50.523,3.6099,Rudéral,Transect,20,Belgium,
Colletes daviesanus,F,1,Rue du Castillon,Tanacetum vulgare,2020,9,5,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Colletes similis,F,4,Rue du Castillon,Tanacetum vulgare,2020,9,5,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Colletes daviesanus,F,4,Rue là-dessous,Tanacetum vulgare,2020,9,5,Colfontaine,50.4266,3.8456,Rudéral,Transect,20,Belgium,
Colletes daviesanus,F,1,Pré à Parchon,Tanacetum vulgare,2020,9,6,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Colletes similis,F,2,Pré à Parchon,Tanacetum vulgare,2020,9,6,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Colletes similis,M,1,Pré à Parchon,Tanacetum vulgare,2020,9,6,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Epeolus variegatus,F,1,Pré à Parchon,Tanacetum vulgare,2020,9,6,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Andrena flavipes,F,1,Parc des 5 rocs,Daucus carota,2020,8,1,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Andrena flavipes,F,1,Chemin de Roucourt,Senecio sp.,2020,7,12,Péruwelz,50.523,3.6099,Rudéral,Transect,20,Belgium,
Andrena flavipes,F,1,Rue du Castillon,Centaurea nigra,2020,7,19,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Osmia spinulosa,F,1,Rue du Castillon,Centaurea nigra,2020,7,19,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Bombus lapidarius,W,2,Rue du Castillon,Centaurea nigra,2020,7,19,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Bombus lapidarius,M,2,Rue du Castillon,Centaurea nigra,2020,7,19,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Andrena flavipes,F,1,Pré à Parchon,Cirsium arvense,2020,7,12,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Andrena flavipes,M,1,Pré à Parchon,Cirsium arvense,2020,7,12,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Andrena dorsata,M,1,Pré à Parchon,Cirsium arvense,2020,7,12,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Nomada zonata,F,1,Pré à Parchon,Cirsium arvense,2020,7,12,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Sphecodes monilicornis,M,1,Pré à Parchon,Cirsium arvense,2020,7,12,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Bombus pascuorum,M,1,Pré à Parchon,Cirsium arvense,2020,7,12,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Terrestribombus sp.,M,1,Pré à Parchon,Cirsium arvense,2020,7,12,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Andrena flavipes,F,1,Rue Jean Winance,Cirsium arvense,2020,7,7,Warchin,50.6063,3.4296,Rudéral,Transect,20,Belgium,
Terrestribombus sp.,W,1,Rue Jean Winance,Cirsium arvense,2020,7,7,Warchin,50.6063,3.4296,Rudéral,Transect,20,Belgium,
Lasioglossum pauxillum,F,1,Rue Jean Winance,Cirsium arvense,2020,7,7,Warchin,50.6063,3.4296,Rudéral,Transect,20,Belgium,
Andrena minutula,F,1,Chemin du Trainage,Rubus sp.,2020,7,19,Hensies,50.4486,3.6805,Rudéral,Transect,20,Belgium,
Andrena dorsata,F,6,Chemin du Trainage,Rubus sp.,2020,7,19,Hensies,50.4486,3.6805,Rudéral,Transect,20,Belgium,
Hylaeus dilatatus,F,1,Chemin du Trainage,Rubus sp.,2020,7,19,Hensies,50.4486,3.6805,Rudéral,Transect,20,Belgium,
Lasioglossum pauxillum,F,1,Chemin du Trainage,Rubus sp.,2020,7,19,Hensies,50.4486,3.6805,Rudéral,Transect,20,Belgium,
Seladonia tumulorum,F,1,Chemin du Trainage,Rubus sp.,2020,7,19,Hensies,50.4486,3.6805,Rudéral,Transect,20,Belgium,
Bombus pascuorum,W,3,Chemin du Trainage,Rubus sp.,2020,7,19,Hensies,50.4486,3.6805,Rudéral,Transect,20,Belgium,
Terrestribombus sp.,W,1,Chemin du Trainage,Rubus sp.,2020,7,19,Hensies,50.4486,3.6805,Rudéral,Transect,20,Belgium,
Andrena minutula,M,1,Parc des 5 rocs,Daucus carota,2020,7,7,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Andrena subopaca,F,1,Pré à Parchon,Rubus sp.,2020,5,24,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Bombus pratorum,W,1,Pré à Parchon,Rubus sp.,2020,5,24,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Bombus pascuorum,W,8,Pré à Parchon,Rubus sp.,2020,5,24,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Terrestribombus sp.,W,2,Pré à Parchon,Rubus sp.,2020,5,24,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Hylaeus communis,M,1,Marais de Douvrain Ouest,Reseda lutea,2020,8,19,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Hylaeus communis,F,2,Marais de Douvrain Ouest,Reseda lutea,2020,8,19,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Hylaeus pictipes,F,1,Marais de Douvrain Ouest,Reseda lutea,2020,8,19,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Hylaeus signatus,F,1,Marais de Douvrain Ouest,Reseda lutea,2020,8,19,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Hylaeus signatus,M,1,Marais de Douvrain Ouest,Reseda lutea,2020,8,19,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Bombus pascuorum,W,3,Marais de Douvrain Ouest,Reseda lutea,2020,8,19,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Andrena dorsata,F,1,Marais de Douvrain Ouest,Chamomilla recutita,2020,7,20,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Andrena dorsata,F,2,Bois de Wadelincourt,Rubus sp.,2020,7,12,Beloeil,50.531,3.6422,Prairie,Transect,20,Belgium,
Bombus pascuorum,W,2,Bois de Wadelincourt,Rubus sp.,2020,7,12,Beloeil,50.531,3.6422,Prairie,Transect,20,Belgium,
Andrena dorsata,F,1,Mont Ostènes,Rubus sp.,2020,6,3,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Bombus lapidarius,W,2,Mont Ostènes,Rubus sp.,2020,6,3,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Bombus pratorum,W,1,Mont Ostènes,Rubus sp.,2020,6,3,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Bombus pascuorum,W,1,Mont Ostènes,Rubus sp.,2020,6,3,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Terrestribombus sp.,F,1,Mont Ostènes,Rubus sp.,2020,6,3,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Terrestribombus sp.,M,2,Mont Ostènes,Rubus sp.,2020,6,3,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Bombus hortorum,M,1,Mont Ostènes,Rubus sp.,2020,6,3,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Bombus sylvestris,F,1,Mont Ostènes,Rubus sp.,2020,6,3,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Bombus vestalis,M,2,Mont Ostènes,Rubus sp.,2020,6,3,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Melitta nigricans,M,4,Bois de Wadelincourt,Lythrum salicaria,2020,8,5,Beloeil,50.531,3.6422,Prairie,Transect,20,Belgium,
Bombus pascuorum,M,1,Bois de Wadelincourt,Lythrum salicaria,2020,8,5,Beloeil,50.531,3.6422,Prairie,Transect,20,Belgium,
Bombus pascuorum,W,3,Bois de Wadelincourt,Lythrum salicaria,2020,8,5,Beloeil,50.531,3.6422,Prairie,Transect,20,Belgium,
Melitta leporina,M,1,Rue du Castillon,Origanum vulgare,2020,7,19,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Osmia spinulosa,M,1,Rue du Castillon,Origanum vulgare,2020,7,19,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Hylaeus pictipes,M,1,Rue du Castillon,Origanum vulgare,2020,7,19,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Hylaeus signatus,F,2,Rue du Castillon,Origanum vulgare,2020,7,19,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Hylaeus signatus,M,2,Rue du Castillon,Origanum vulgare,2020,7,19,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Bombus lapidarius,M,1,Rue du Castillon,Origanum vulgare,2020,7,19,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Seladonia tumulorum,F,2,Rue du Castillon,Origanum vulgare,2020,7,19,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Bombus pascuorum,W,3,Rue du Castillon,Origanum vulgare,2020,7,19,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Terrestribombus sp.,W,3,Rue du Castillon,Origanum vulgare,2020,7,19,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Lasioglossum nitidulum,F,2,Rue du Castillon,Origanum vulgare,2020,7,19,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Anthidium punctatum,M,2,Rue du Castillon,Reseda lutea,2020,5,24,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Hylaeus signatus,F,1,Rue du Castillon,Reseda lutea,2020,5,24,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Hylaeus signatus,M,1,Rue du Castillon,Reseda lutea,2020,5,24,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Hylaeus signatus,M,3,Rue du Castillon,Reseda lutea,2020,5,24,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Coelioxys aurolimbata,M,1,Ravel 98,Origanum vulgare,2020,7,19,Mons,50.4306,3.8892,Rudéral,Transect,20,Belgium,
Megachile rotundata,F,1,Ravel 98,Origanum vulgare,2020,7,19,Mons,50.4306,3.8892,Rudéral,Transect,20,Belgium,
Hylaeus communis,F,1,Ravel 98,Origanum vulgare,2020,7,19,Mons,50.4306,3.8892,Rudéral,Transect,20,Belgium,
Lasioglossum laticeps,M,1,Ravel 98,Origanum vulgare,2020,7,19,Mons,50.4306,3.8892,Rudéral,Transect,20,Belgium,
Bombus lapidarius,M,1,Ravel 98,Origanum vulgare,2020,7,19,Mons,50.4306,3.8892,Rudéral,Transect,20,Belgium,
Halictus rubicundus,M,1,Ravel 98,Origanum vulgare,2020,7,19,Mons,50.4306,3.8892,Rudéral,Transect,20,Belgium,
Bombus pascuorum,M,1,Ravel 98,Origanum vulgare,2020,7,19,Mons,50.4306,3.8892,Rudéral,Transect,20,Belgium,
Terrestribombus sp.,W,2,Ravel 98,Origanum vulgare,2020,7,19,Mons,50.4306,3.8892,Rudéral,Transect,20,Belgium,
Bombus vestalis,M,1,Ravel 98,Origanum vulgare,2020,7,19,Mons,50.4306,3.8892,Rudéral,Transect,20,Belgium,
Epeolus variegatus,F,1,Rue du Castillon,Tanacetum vulgare,2020,8,19,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Anthophora quadrimaculata,F,1,Friche des Vignobles,Echium vulgare,2020,8,1,Tournai,50.5871,3.4385,Carrière,Transect,20,Belgium,
Bombus pascuorum,W,2,Friche des Vignobles,Echium vulgare,2020,8,1,Tournai,50.5871,3.4385,Carrière,Transect,20,Belgium,
Anthophora quadrimaculata,F,3,Friche des Vignobles,Echium vulgare,2020,7,7,Tournai,50.5871,3.4385,Carrière,Transect,20,Belgium,
Bombus pascuorum,W,2,Friche des Vignobles,Echium vulgare,2020,7,7,Tournai,50.5871,3.4385,Carrière,Transect,20,Belgium,
Dasypoda hirtipes,F,3,Mer de Sable,Hypericum perforatum,2020,7,12,Beloeil,50.4969,3.7201,Carrière,Transect,20,Belgium,
Nomada fucata,M,1,Mer de Sable,Hypericum perforatum,2020,7,12,Beloeil,50.4969,3.7201,Carrière,Transect,20,Belgium,
Bombus pascuorum,W,1,Mer de Sable,Hypericum perforatum,2020,7,12,Beloeil,50.4969,3.7201,Carrière,Transect,20,Belgium,
Terrestribombus sp.,W,3,Mer de Sable,Hypericum perforatum,2020,7,12,Beloeil,50.4969,3.7201,Carrière,Transect,20,Belgium,
Bombus pascuorum,W,1,Mer de Sable,Hypericum perforatum,2020,7,12,Beloeil,50.4969,3.7201,Carrière,Transect,20,Belgium,
Dasypoda hirtipes,F,1,Mer de Sable,Taraxacum sp.,2020,9,2,Beloeil,50.4969,3.7201,Carrière,Transect,20,Belgium,
Bombus pascuorum,M,4,Mer de Sable,Taraxacum sp.,2020,9,2,Beloeil,50.4969,3.7201,Carrière,Transect,20,Belgium,
Megachile ericetorum,F,1,Ravel 98,Lathyrus sylvestris,2020,7,19,Mons,50.4306,3.8892,Rudéral,Transect,20,Belgium,
Lasioglossum morio,M,1,Ravel 98,Lathyrus sylvestris,2020,7,19,Mons,50.4306,3.8892,Rudéral,Transect,20,Belgium,
Bombus pascuorum,W,3,Ravel 98,Lathyrus sylvestris,2020,7,19,Mons,50.4306,3.8892,Rudéral,Transect,20,Belgium,
Megachile rotundata,F,1,Bois de Wadelincourt,Pulicaria dysenterica,2020,8,5,Beloeil,50.531,3.6422,Prairie,Transect,20,Belgium,
Hoplitis leucomelana,F,1,Bois de Wadelincourt,Pulicaria dysenterica,2020,8,5,Beloeil,50.531,3.6422,Prairie,Transect,20,Belgium,
Megachile ligniseca,F,1,Pré à Parchon,Echium vulgare,2020,8,5,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Megachile versicolor,F,1,Chemin du Trainage,Taraxacum sp.,2020,9,2,Hensies,50.4486,3.6805,Rudéral,Transect,20,Belgium,
Megachile versicolor,F,1,Mont Ostènes,Sonchus sp.,2020,8,19,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Lasioglossum villosulum,F,1,Mont Ostènes,Sonchus sp.,2020,8,19,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Lasioglossum villosulum,M,2,Mont Ostènes,Sonchus sp.,2020,8,19,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Lasioglossum morio,M,2,Mont Ostènes,Sonchus sp.,2020,8,19,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Megachile versicolor,F,1,Parc des 5 rocs,Picris sp.,2020,7,7,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Lasioglossum pauxillum,F,2,Parc des 5 rocs,Picris sp.,2020,7,7,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Seladonia tumulorum,F,1,Parc des 5 rocs,Picris sp.,2020,7,7,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Lasioglossum leucozonium,F,1,Parc des 5 rocs,Picris sp.,2020,7,7,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Megachile versicolor,F,1,Mer de Sable,Arctium minus,2020,8,6,Beloeil,50.4969,3.7201,Carrière,Transect,20,Belgium,
Bombus pascuorum,W,2,Mer de Sable,Arctium minus,2020,8,6,Beloeil,50.4969,3.7201,Carrière,Transect,20,Belgium,
Megachile centuncularis,F,1,Bois de Wadelincourt,Hypericum perforatum,2020,7,12,Beloeil,50.531,3.6422,Prairie,Transect,20,Belgium,
Megachile centuncularis,F,1,Parc des 5 rocs,Picris sp.,2020,8,1,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Megachile versicolor,M,1,Mont Ostènes,Centaurea sp.,2020,7,20,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Stelis breviuscula,F,1,Chemin du Trainage,Picris sp.,2020,7,19,Hensies,50.4486,3.6805,Rudéral,Transect,20,Belgium,
Hoplitis leucomelana,F,1,Mont Ostènes,Hypericum perforatum,2020,7,20,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Bombus pascuorum,W,1,Mont Ostènes,Hypericum perforatum,2020,7,20,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Heriades truncorum,F,6,Parc des 5 rocs,Pulicaria dysenterica,2020,8,1,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Osmia spinulosa,F,1,Parc des 5 rocs,Pulicaria dysenterica,2020,8,1,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Nomada flavoguttata,F,1,Parc des 5 rocs,Pulicaria dysenterica,2020,8,1,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Heriades truncorum,F,1,Rue là-dessous,Senecio sp.,2020,8,18,Colfontaine,50.4266,3.8456,Rudéral,Transect,20,Belgium,
Halictus scabiosae,M,1,Vieille Haine,Hypericum perforatum,2020,9,6,Saint-Ghislain,50.4561,3.8288,Rudéral,Transect,20,Belgium,
Heriades truncorum,F,1,Parc des 5 rocs,Sonchus sp.,2020,8,27,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Osmia spinulosa,F,1,Parc des 5 rocs,Sonchus sp.,2020,8,27,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Lasioglossum leucozonium,F,1,Parc des 5 rocs,Sonchus sp.,2020,8,27,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Halictus scabiosae,F,2,Parc des 5 rocs,Sonchus sp.,2020,8,27,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Halictus scabiosae,M,1,Parc des 5 rocs,Sonchus sp.,2020,8,27,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Bombus pascuorum,W,2,Parc des 5 rocs,Sonchus sp.,2020,8,27,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Bombus pascuorum,M,1,Parc des 5 rocs,Sonchus sp.,2020,8,27,Antoing,50.5813,3.4303,Parc,Transect,20,Belgium,
Heriades truncorum,F,2,Mer de Sable,Inula conyzae,2020,8,6,Beloeil,50.4969,3.7201,Carrière,Transect,20,Belgium,
Bombus pascuorum,W,2,Mer de Sable,Inula conyzae,2020,8,6,Beloeil,50.4969,3.7201,Carrière,Transect,20,Belgium,
Heriades truncorum,F,1,Pré à Parchon,Senecio sp.,2020,8,5,Beloeil,50.5194,3.8891,Rudéral,Transect,20,Belgium,
Andrena flavipes,F,1,Marais de Douvrain Ouest,Senecio sp.,2020,7,20,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Heriades truncorum,F,1,Marais de Douvrain Ouest,Senecio sp.,2020,7,20,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Heriades truncorum,M,1,Rue du Bois,Pulicaria dysenterica,2020,8,1,Antoing,50.5435,3.4579,Rudéral,Transect,20,Belgium,
Halictus quadricinctus,F,1,Rue du Bois,Pulicaria dysenterica,2020,8,1,Antoing,50.5435,3.4579,Rudéral,Transect,20,Belgium,
Chelostoma florisomne,M,4,Bois de Wadelincourt,Ranunculus repens,2020,5,24,Beloeil,50.531,3.6422,Prairie,Transect,20,Belgium,
Bombus pascuorum,M,1,Bois de Wadelincourt,Ranunculus repens,2020,5,24,Beloeil,50.531,3.6422,Prairie,Transect,20,Belgium,
Terrestribombus sp.,W,1,Bois de Wadelincourt,Ranunculus repens,2020,5,24,Beloeil,50.531,3.6422,Prairie,Transect,20,Belgium,
Osmia spinulosa,F,2,Rue du Carme,Senecio sp.,2020,8,5,Beloeil,50.5178,3.6414,Rudéral,Transect,20,Belgium,
Hoplitis adunca,F,1,Marais de Douvrain Ouest,Echium vulgare,2020,6,14,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Hoplitis adunca,M,1,Marais de Douvrain Ouest,Echium vulgare,2020,6,14,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Seladonia tumulorum,F,1,Marais de Douvrain Ouest,Echium vulgare,2020,6,14,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Bombus pascuorum,W,4,Marais de Douvrain Ouest,Echium vulgare,2020,6,14,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Terrestribombus sp.,W,1,Marais de Douvrain Ouest,Echium vulgare,2020,6,14,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Hoplitis adunca,F,1,Vieille Haine,Echium vulgare,2020,6,14,Saint-Ghislain,50.4561,3.8288,Rudéral,Transect,20,Belgium,
Bombus lapidarius,W,1,Vieille Haine,Echium vulgare,2020,6,14,Saint-Ghislain,50.4561,3.8288,Rudéral,Transect,20,Belgium,
Lasioglossum laticeps,F,1,Vieille Haine,Echium vulgare,2020,6,14,Saint-Ghislain,50.4561,3.8288,Rudéral,Transect,20,Belgium,
Bombus pascuorum,W,#,Vieille Haine,Echium vulgare,2020,6,14,Saint-Ghislain,50.4561,3.8288,Rudéral,Transect,20,Belgium,
Terrestribombus sp.,W,4,Vieille Haine,Echium vulgare,2020,6,14,Saint-Ghislain,50.4561,3.8288,Rudéral,Transect,20,Belgium,
Lasioglossum morio,F,1,Vieille Haine,Echium vulgare,2020,6,14,Saint-Ghislain,50.4561,3.8288,Rudéral,Transect,20,Belgium,
Hoplitis adunca,F,1,Marais de Douvrain Ouest,Echium vulgare,2020,7,20,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Bombus pascuorum,W,1,Marais de Douvrain Ouest,Echium vulgare,2020,7,20,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Hoplitis adunca,M,2,Ravel 98,Geranium molle,2020,5,24,Mons,50.4306,3.8892,Rudéral,Transect,20,Belgium,
Osmia bicolor,F,1,Rue du Castillon,Rosa canina,2020,5,24,Quaregnon,50.4319,3.8718,Prairie,Transect,20,Belgium,
Hylaeus communis,M,1,Bois de Wadelincourt,Filipendula ulmaria,2020,7,12,Beloeil,50.531,3.6422,Prairie,Transect,20,Belgium,
Lasioglossum calceatum,F,1,Bois de Wadelincourt,Filipendula ulmaria,2020,7,12,Beloeil,50.531,3.6422,Prairie,Transect,20,Belgium,
Hylaeus signatus,F,1,Marais de Douvrain Ouest,Reseda lutea,2020,6,14,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Hylaeus signatus,M,1,Marais de Douvrain Ouest,Reseda lutea,2020,6,14,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Nomada facilis,F,1,Mont Ostènes,Picris sp.,2020,7,20,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Lasioglossum pauxillum,F,1,Mont Ostènes,Picris sp.,2020,7,20,Mons,50.4219,3.901,Terril,Transect,20,Belgium,
Bombus pascuorum,W,6,Rue du Bois,Centaurea nigra,2020,8,1,Antoing,50.5435,3.4579,Rudéral,Transect,20,Belgium,
Halictus sexcinctus,M,1,Rue du Bois,Centaurea nigra,2020,8,1,Antoing,50.5435,3.4579,Rudéral,Transect,20,Belgium,
Terrestribombus sp.,M,2,Rue du Bois,Centaurea nigra,2020,8,1,Antoing,50.5435,3.4579,Rudéral,Transect,20,Belgium,
Bombus pascuorum,W,#,Vieille Haine,Echium vulgare,2020,8,19,Saint-Ghislain,50.4561,3.8288,Rudéral,Transect,20,Belgium,
Bombus pascuorum,M,1,Vieille Haine,Echium vulgare,2020,8,19,Saint-Ghislain,50.4561,3.8288,Rudéral,Transect,20,Belgium,
Bombus lapidarius,M,1,Vieille Haine,Echium vulgare,2020,8,19,Saint-Ghislain,50.4561,3.8288,Rudéral,Transect,20,Belgium,
Terrestribombus sp.,W,1,Vieille Haine,Echium vulgare,2020,8,19,Saint-Ghislain,50.4561,3.8288,Rudéral,Transect,20,Belgium,
Lasioglossum malachurum,M,1,Vieille Haine,Echium vulgare,2020,8,19,Saint-Ghislain,50.4561,3.8288,Rudéral,Transect,20,Belgium,
Bombus pascuorum,M,4,Marais de Douvrain Ouest,Buddleja davidii,2020,8,19,Saint-Ghislain,50.4616,3.8406,Rudéral,Transect,20,Belgium,
Halictus scabiosae,F,1,Chemin de Roucourt,Cirsium vulgare,2020,8,5,Péruwelz,50.523,3.6099,Rudéral,Transect,20,Belgium,
Bombus pascuorum,W,2,Chemin de Roucourt,Cirsium vulgare,2020,8,5,Péruwelz,50.523,3.6099,Rudéral,Transect,20,Belgium,
Bombus pascuorum,W,1,Chemin de Roucourt,Trifolium pratense,2020,8,5,Péruwelz,50.523,3.6099,Rudéral,Transect,20,Belgium,
Bombus pascuorum,W,1,Bois de Wadelincourt,Rubus sp.,2020,8,5,Beloeil,50.531,3.6422,Prairie,Transect,20,Belgium,
