Order,Family,Subfamily,Tribe,Genus,Subgenus,Species,GenusAndSpecies,TaxonomicAuthority,Albania,Andorra,Austria,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Faroe Islands,Finland,Finland - Åland Islands,Finland - Mainland,France,France - Corsica,France - Mainland,Germany,Gibraltar,Greece,Greece - East Aegean Islands,Greece - Kriti,Greece - Mainland,Hungary,Iceland,Ireland,Isle of Man,Italy,Italy - Mainland,Italy - Sardegna,Italy - Sicily,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Portugal - Azores,Portugal - Madeira,Portugal - Mainland,Romania,Russian Federation - European Russia,Serbia,Slovakia,Slovenia,Spain,Spain - Balearic Islands,Spain - Canary Islands,Spain - Mainland,Sweden,Switzerland,Turkey - European part,Ukraine,Ukraine - Krym,Ukraine - Main part,United Kingdom,United Kingdom - Great Britain,United Kingdom - Northern Ireland
Diptera,Syrphidae,Eristalinae,Milesiini,Brachypalpus,,valgus,Brachypalpus valgus,"(Panzer, 1798)",A,A,P,A,P,P,P,P,A,P,A,A,A,A,A,A,P,A,P,P,A,P,P,A,P,P,A,A,A,P,P,A,A,A,A,A,P,A,A,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,A,A,P,A,P,A,P,A,P,A,A,A
Diptera,Syrphidae,Eristalinae,Milesiini,Caliprobola ,,speciosa,Caliprobola speciosa,"(Rossi, 1790)",A,A,P,P,P,P,P,P,A,P,P,A,A,A,A,A,P,A,P,P,A,P,A,A,P,P,A,A,A,P,P,A,P,A,A,A,P,A,P,P,P,P,A,P,P,A,A,P,P,P,P,P,P,P,A,A,P,P,P,P,P,A,P,P,P,A
Diptera,Syrphidae,Eristalinae,Callicerini,Callicera ,,aenea,Callicera aenea,"(Fabricius, 1777)",P,A,P,A,P,A,P,A,A,P,A,A,A,A,A,A,P,A,P,P,A,P,P,A,A,P,A,A,A,P,P,A,P,A,A,P,A,A,A,A,P,A,P,P,A,A,A,A,P,P,P,P,P,P,A,A,P,P,P,A,P,A,P,A,A,A
Diptera,Syrphidae,Eristalinae,Callicerini,Callicera ,,aurata,Callicera aurata,"(Rossi, 1790)",P,A,A,A,P,P,P,A,A,A,P,A,A,A,A,A,P,A,P,P,A,P,P,A,P,P,A,A,A,P,P,A,P,A,A,A,A,A,A,P,P,P,P,A,A,A,A,A,P,A,P,A,P,P,A,A,P,P,P,A,P,P,P,P,P,A
Diptera,Syrphidae,Eristalinae,Callicerini,Callicera ,,fagesii,Callicera fagesii,"Guerin-Meneville, 1844",A,A,A,A,P,A,A,P,P,A,A,A,A,A,A,A,P,A,P,P,A,P,P,A,P,A,A,A,A,P,P,P,P,A,A,A,A,A,A,P,P,P,A,A,P,A,A,P,A,A,P,A,P,P,A,A,P,A,A,P,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Callicerini,Callicera ,,macquarti,Callicera macquarti,"Rondani, 1844",A,A,A,A,A,A,A,P,P,A,A,A,A,A,A,A,P,A,P,P,A,P,P,A,P,P,A,A,A,P,P,P,P,A,A,A,A,A,A,A,A,A,A,A,P,A,A,P,A,A,A,A,A,P,P,A,P,A,P,P,P,P,A,A,A,A
Diptera,Syrphidae,Eristalinae,Callicerini,Callicera ,,rufa,Callicera rufa,"Schummel, 1842",A,A,P,A,P,A,P,A,A,P,P,A,A,A,A,A,P,A,P,P,A,P,P,A,A,P,A,A,A,P,P,A,A,A,A,A,A,A,A,A,P,A,A,P,P,A,A,P,P,A,A,A,A,P,P,A,P,A,A,P,A,A,A,P,P,A
Diptera,Syrphidae,Eristalinae,Callicerini,Callicera ,,scintilla,Callicera scintilla,"Smit, 2014",A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Callicerini,Callicera ,,spinolae,Callicera spinolae,"Rondani, 1844",A,A,P,A,P,A,A,P,A,A,A,A,A,A,A,A,P,A,P,P,A,P,P,P,P,P,A,A,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,P,A,A,P,P,A,P,A,P,P,A,A,P,A,P,A,A,A,A,P,P,A
Diptera,Syrphidae,Eristalinae,Cerioidini,Ceriana,,conopsoides,Ceriana conopsoides,"(Linnaeus, 1758)",P,P,P,P,P,A,P,P,A,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,A,P,P,P,P,P,A,P,A,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,A,A,A
Diptera,Syrphidae,Eristalinae,Cerioidini,Ceriana,,glaebosa,Ceriana glaebosa,"van Steenis & Ricarte in van Steenis et al, 2016",A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Cerioidini,Ceriana,,vespiformis,Ceriana vespiformis,"(Latreille, 1804), why is this still 1804????",P,P,A,A,A,P,A,P,A,A,A,A,A,A,A,A,P,P,P,P,P,P,P,P,P,P,A,A,A,P,P,P,P,A,A,A,A,P,A,P,A,A,A,A,P,A,A,P,P,A,A,A,A,P,P,A,P,A,A,P,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Milesiini,Chalcosyrphus ,,eumerus,Chalcosyrphus eumerus,"(Loew, 1869)",A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Milesiini,Chalcosyrphus ,,eunotus,Chalcosyrphus eunotus,"(Loew, 1873)",A,A,P,A,P,P,A,P,A,P,A,A,A,A,A,A,P,A,P,P,A,P,A,A,P,P,A,A,A,A,A,A,A,A,A,P,P,A,A,A,P,P,A,P,A,A,A,A,P,P,P,P,A,P,A,A,P,A,P,A,P,A,P,P,P,A
Diptera,Syrphidae,Eristalinae,Milesiini,Chalcosyrphus ,,femoratus,Chalcosyrphus femoratus,"(Linnaeus, 1758)",A,A,P,P,P,A,P,P,A,P,A,P,A,A,A,A,P,A,P,P,A,A,A,A,A,P,A,A,A,P,P,A,A,P,A,P,P,A,P,A,PE,A,A,P,A,A,A,A,P,P,A,P,P,P,A,A,P,A,P,A,P,A,P,A,A,A
Diptera,Syrphidae,Eristalinae,Milesiini,Chalcosyrphus ,,jacobsoni,Chalcosyrphus jacobsoni,"(Stackelberg, 1921)",A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Milesiini,Chalcosyrphus ,,nemorum,Chalcosyrphus nemorum,"(Fabricius, 1805)",A,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P,A,P,P,A,P,P,A,P,P,P,P,P,A,P,A,P,P,A,P,A,P,A,P,P,P,A,A,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P
Diptera,Syrphidae,Eristalinae,Milesiini,Chalcosyrphus ,,nigripes,Chalcosyrphus nigripes,"(Zetterstedt, 1838)",A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A
Diptera,Syrphidae,Eristalinae,Milesiini,Chalcosyrphus ,,nitidus,Chalcosyrphus nitidus,"(Portschinsky, 1879)",A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
