Site_id,Plant_species,Flower_units,Latitude,Longitude,Site_area
Schützengräben,Primula veris,50,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Primula veris,1000,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Primula veris,0,49.923929999999999,11.07592,13454.5
Wallersberg,Primula veris,3000,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Primula veris,5000,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Primula veris,10000,49.71658,11.14601,4582.6201000000001
Wonsees,Primula veris,100,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Prunus avium,0,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Prunus avium,0,49.72795,11.28425,21554.1
Bindlacher Berg,Prunus avium,0,50.006549999999997,11.616,96624.5
Friesen,Prunus avium,10000,49.846960000000003,11.047140000000001,9633.7900000000009
Großenohe,Prunus avium,0,49.674190000000003,11.294879999999999,12910.3
Haselbrunn,Prunus avium,0,49.79063,11.42389,58085.5
Hohe Leite,Prunus avium,0,49.80621,11.40085,23217.300999999999
Kainach,Prunus avium,0,49.957859999999997,11.2906,2346.23
Kalkberg,Prunus avium,20000,50.075539999999997,11.23836,19135.599999999999
Kleinziegenfeld,Prunus avium,0,50.021439999999998,11.20879,117772
Köttel,Prunus avium,30000,50.076549999999997,11.16835,43404.5
Leidingshof,Prunus avium,20000,49.841749999999998,11.21055,6348.6400999999996
Neubürg,Prunus avium,50000,49.891959999999997,11.40354,38417
Oberailsfeld,Prunus avium,0,49.814570000000003,11.35857,32996.300999999999
Pottenstein,Prunus avium,0,49.768210000000003,11.417350000000001,7130.73
Schirradorf,Prunus avium,0,50.016399999999997,11.30677,2314.6100999999999
Schützengräben,Prunus avium,0,49.958210000000001,11.63876,48158.601999999999
Spitzberg,Prunus avium,0,50.096350000000001,11.042199999999999,24335.300999999999
Tiefenellern,Prunus avium,0,49.923929999999999,11.07592,13454.5
Wallersberg,Prunus avium,20000,50.049100000000003,11.21597,3289.9398999999999
Wattendorf,Prunus avium,40000,50.029260000000001,11.10342,65017.300999999999
Wiesenthau,Prunus avium,10000,49.71658,11.14601,4582.6201000000001
Wonsees,Prunus avium,0,49.977060000000002,11.30517,4451.0497999999998
Allersdorf,Prunus domestica,20000,49.982759999999999,11.64053,29756.300999999999
Bieberbach,Prunus domestica,0,49.72795,11.28425,21554.1
Bindlacher Berg,Prunus domestica,0,50.006549999999997,11.616,96624.5
Friesen,Prunus domestica,0,49.846960000000003,11.047140000000001,9633.7900000000009
