"Plant_gen_sp","Site_ID","Name","Day","Month","Year","Round","Notes","Plot","Plant_genus","Plant_species","Flower_abundance"
"Andryala integrifolia","La_rocina","Curro",23,5,2016,8,NA,4,"Andryala","integrifolia",20
"Andryala integrifolia","La_rocina","Curro",23,5,2016,8,NA,5,"Andryala","integrifolia",3
"Andryala integrifolia","Esparragal","Curro",23,5,2016,8,NA,3,"Andryala","integrifolia",9
"Andryala integrifolia","Villamanrique_este","Curro",31,5,2016,9,NA,3,"Andryala","integrifolia",59
"Andryala integrifolia","Villamanrique_este","Curro",31,5,2016,9,NA,4,"Andryala","integrifolia",47
"Andryala integrifolia","Villamanrique_sur","Curro",31,5,2016,9,NA,2,"Andryala","integrifolia",59
"Andryala integrifolia","Villamanrique_sur","Curro",31,5,2016,9,NA,4,"Andryala","integrifolia",35
"Andryala integrifolia","Villamanrique_sur","Curro",31,5,2016,9,NA,5,"Andryala","integrifolia",51
"Andryala integrifolia","Villamanrique_sur","Curro",31,5,2016,9,NA,7,"Andryala","integrifolia",10
"Andryala integrifolia","Villamanrique_sur","Curro",31,5,2016,9,NA,9,"Andryala","integrifolia",29
"Andryala integrifolia","La_cunya","Curro",1,6,2016,9,NA,4,"Andryala","integrifolia",13
"Andryala integrifolia","La_cunya","Curro",1,6,2016,9,NA,8,"Andryala","integrifolia",50
"Andryala integrifolia","Aznalcazar","Curro",1,6,2016,9,NA,3,"Andryala","integrifolia",17
"Andryala integrifolia","Aznalcazar","Curro",1,6,2016,9,NA,4,"Andryala","integrifolia",7
"Andryala integrifolia","Aznalcazar","Curro",1,6,2016,9,NA,5,"Andryala","integrifolia",8
"Andryala integrifolia","Aznalcazar","Curro",1,6,2016,9,NA,6,"Andryala","integrifolia",13
"Andryala integrifolia","Aznalcazar","Curro",1,6,2016,9,NA,7,"Andryala","integrifolia",50
"Andryala integrifolia","Aznalcazar","Curro",1,6,2016,9,NA,8,"Andryala","integrifolia",35
"Andryala integrifolia","La_rocina","Curro",2,6,2016,9,NA,1,"Andryala","integrifolia",35
"Andryala integrifolia","La_rocina","Curro",2,6,2016,9,NA,4,"Andryala","integrifolia",59
"Andryala integrifolia","La_rocina","Curro",2,6,2016,9,NA,5,"Andryala","integrifolia",60
"Andryala integrifolia","La_rocina","Curro",2,6,2016,9,NA,6,"Andryala","integrifolia",60
"Andryala integrifolia","La_rocina","Curro",2,6,2016,9,NA,7,"Andryala","integrifolia",50
"Andryala integrifolia","La_rocina","Curro",2,6,2016,9,NA,8,"Andryala","integrifolia",39
"Andryala integrifolia","La_rocina","Curro",2,6,2016,9,NA,9,"Andryala","integrifolia",69
"Andryala integrifolia","El_pozo","Curro",2,6,2016,9,NA,2,"Andryala","integrifolia",5
"Andryala integrifolia","El_pozo","Curro",2,6,2016,9,NA,5,"Andryala","integrifolia",12
"Andryala integrifolia","Urbanizaciones","Curro",2,6,2016,9,NA,4,"Andryala","integrifolia",5
"Andryala integrifolia","Urbanizaciones","Curro",2,6,2016,9,NA,7,"Andryala","integrifolia",3
"Andryala integrifolia","Convento_de_la_luz","Curro",2,6,2016,9,NA,3,"Andryala","integrifolia",14
"Andryala integrifolia","Convento_de_la_luz","Curro",2,6,2016,9,NA,4,"Andryala","integrifolia",5
"Andryala integrifolia","Esparragal","Pablo",15,5,2017,7,NA,5,"Andryala","integrifolia",2
"Andryala integrifolia","Bonares","Pablo",15,5,2017,7,NA,5,"Andryala","integrifolia",2
"Andryala integrifolia","Aznalcazar","Pablo",17,4,2017,5,NA,3,"Andryala","integrifolia",1
"Andryala integrifolia","Villamanrique_este","Pablo",3,5,2017,6,NA,7,"Andryala","integrifolia",2
"Andryala integrifolia","La_cunya","Pablo",4,5,2017,6,NA,9,"Andryala","integrifolia",1
"Andryala integrifolia","La_cunya","Pablo",15,5,2017,7,NA,6,"Andryala","integrifolia",2
"Andryala integrifolia","Aznalcazar","Pablo",16,5,2017,7,NA,4,"Andryala","integrifolia",1
"Andryala integrifolia","Villamanrique_sur","Pablo",16,5,2017,7,NA,10,"Andryala","integrifolia",3
"Andryala integrifolia","Esparragal","Curro",29,5,2018,7,NA,2,"Andryala","integrifolia",15
"Andryala integrifolia","La_cunya","Curro",29,5,2018,7,NA,8,"Andryala","integrifolia",4
"Andryala integrifolia","La_rocina","Curro",30,5,2018,7,NA,5,"Andryala","integrifolia",2
"Andryala integrifolia","La_rocina","Curro",30,5,2018,7,NA,6,"Andryala","integrifolia",24
"Andryala integrifolia","La_rocina","Curro",30,5,2018,7,NA,9,"Andryala","integrifolia",16
"Andryala integrifolia","La_cunya","Curro",5,6,2018,8,NA,2,"Andryala","integrifolia",1
"Andryala integrifolia","La_cunya","Curro",29,5,2018,7,NA,4,"Andryala","integrifolia",5
"Andryala integrifolia","La_rocina","Curro",30,5,2018,7,NA,4,"Andryala","integrifolia",23
"Andryala integrifolia","Urbanizaciones","Curro",4,5,2020,8,NA,5,"Andryala","integrifolia",5
"Andryala integrifolia","Villamanrique_sur","Curro",2,5,2019,7,NA,9,"Andryala","integrifolia",3
"Andryala integrifolia","La_rocina","Curro",3,5,2019,7,NA,2,"Andryala","integrifolia",5
"Andryala integrifolia","Niebla","Curro",6,5,2019,7,NA,1,"Andryala","integrifolia",1
"Andryala integrifolia","La_rocina","Curro",14,5,2019,8,NA,5,"Andryala","integrifolia",3
"Andryala integrifolia","Bonares","Curro",29,5,2018,7,NA,2,"Andryala","integrifolia",1
"Andryala integrifolia","Bonares","Curro",29,5,2018,7,NA,3,"Andryala","integrifolia",10
