Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comment (FloralArea = count * size in mm2)
216,8,2010,SarahMullen_Cloonfenbaun_10,Cirsium_palustre,6,total abundance per plant species,120
180,6,2010,SarahMullen_Cloonfenbaun_10,Trifolium_repens,8,total abundance per plant species,104
204,7,2010,SarahMullen_Cloonfenbaun_10,Cerastium_fontanum,10,total abundance per plant species,70
145,5,2010,SarahMullen_Cloonfenbaun_10,Leontodon_saxatilis,10,total abundance per plant species,250
184,7,2010,SarahMullen_Cloonfenbaun_10,Trifolium_repens,30,total abundance per plant species,390
227,8,2010,SarahMullen_Curry_10,Ranunculus_repens,1,total abundance per plant species,30
225,8,2010,SarahMullen_Curry_10,Cirsium_palustre,12,total abundance per plant species,240
223,8,2010,SarahMullen_Curry_10,Bellis_perennis,19,total abundance per plant species,475
260,9,2010,SarahMullen_Curry_10,Trifolium_pratense,36,total abundance per plant species,540
203,7,2010,SarahMullen_Curry_10,Leontodon_saxatilis,37,total abundance per plant species,925
195,7,2010,SarahMullen_Curry_10,Prunella_vulgaris,44,total abundance per plant species,660
238,8,2010,SarahMullen_Curry_10,Thymus_polytrichus,45,total abundance per plant species,180
153,6,2010,SarahMullen_Curry_10,Leontodon_saxatilis,54,total abundance per plant species,1350
192,7,2010,SarahMullen_Curry_10,Potentilla_erecta,60,total abundance per plant species,900
153,6,2010,SarahMullen_Curry_10,Plantago_lanceolata,88,total abundance per plant species,3520
239,8,2010,SarahMullen_Curry_10,Trifolium_repens,117,total abundance per plant species,1521
288,10,2010,SarahMullen_Curry_10,Trifolium_repens,117,total abundance per plant species,1521
258,9,2010,SarahMullen_Curry_10,Potentilla_erecta,204,total abundance per plant species,3060
270,9,2010,SarahMullen_Curry_10,Potentilla_erecta,270,total abundance per plant species,4050
125,5,2010,SarahMullen_Fray_10,Carex_panicea,NA,not collected,NA
110,4,2010,SarahMullen_Fray_10,Taraxacum_agg,NA,not collected,NA
127,5,2010,SarahMullen_Fray_10,Lathyrus_linifolius,NA,not collected,NA
241,8,2010,SarahMullen_Fray_10,Carlina_vulgaris,NA,not collected,NA
128,5,2010,SarahMullen_Fray_10,Cirsium_palustre,NA,not collected,NA
220,8,2010,SarahMullen_Fray_10,Bellis_perennis,8,total abundance per plant species,200
133,5,2010,SarahMullen_Fray_10,Potentilla_erecta,470,total abundance per plant species,7050
178,6,2010,SarahMullen_Fray_10,Thymus_polytrichus,1192,total abundance per plant species,4768
218,8,2010,SarahMullen_Glenballythomas_10,Taraxacum_agg,NA,not collected,NA
188,7,2010,SarahMullen_Glenballythomas_10,Taraxacum_agg,3,total abundance per plant species,150
196,7,2010,SarahMullen_Glenballythomas_10,Cirsium_palustre,12,total abundance per plant species,240
149,5,2010,SarahMullen_Glenballythomas_10,Plantago_lanceolata,24,total abundance per plant species,960
181,6,2010,SarahMullen_Glenballythomas_10,Ranunculus_sp,64,total abundance per plant species,1920
215,8,2010,SarahMullen_Glenballythomas_10,Bellis_perennis,92,total abundance per plant species,2300
210,7,2010,SarahMullen_Glenballythomas_10,Trifolium_repens,100,total abundance per plant species,1300
223,8,2010,SarahMullen_Glenballythomas_10,Ranunculus_acris,125,total abundance per plant species,3125
243,8,2010,SarahMullen_Knockrogherry_10,Cirsium_arvense,NA,not collected,NA
159,6,2010,SarahMullen_Knockrogherry_10,Cirsium_vulgare,NA,not collected,NA
175,6,2010,SarahMullen_Knockrogherry_10,Ranunculus_acris,3,total abundance per plant species,75
241,8,2010,SarahMullen_Knockrogherry_10,Trifolium_repens,44,total abundance per plant species,572
241,8,2010,SarahMullen_Knockrogherry_10,Cirsium_palustre,92,total abundance per plant species,1840
240,8,2010,SarahMullen_Pollalaher_10,Achillea_millefolium,NA,not collected,NA
185,7,2010,SarahMullen_Pollalaher_10,Cirsium_palustre,NA,not collected,NA
217,8,2010,SarahMullen_Pollalaher_10,Plantago_lanceolata,7,total abundance per plant species,280
217,8,2010,SarahMullen_Pollalaher_10,Leontodon_saxatilis,12,total abundance per plant species,300
219,8,2010,SarahMullen_Pollalaher_10,Bellis_perennis,72,total abundance per plant species,1800
221,8,2010,SarahMullen_Skrine1_10,Trifolium_repens,4,total abundance per plant species,52
221,8,2010,SarahMullen_Skrine1_10,Bellis_perennis,5,total abundance per plant species,125
197,7,2010,SarahMullen_Skrine1_10,Ranunculus_repens,8,total abundance per plant species,240
198,7,2010,SarahMullen_Skrine1_10,Cerastium_fontanum,11,total abundance per plant species,77
178,6,2010,SarahMullen_Skrine1_10,Lotus_corniculatus,14,total abundance per plant species,224
180,6,2010,SarahMullen_Skrine1_10,Achillea_millefolium,20,total abundance per plant species,2000
223,8,2010,SarahMullen_Skrine1_10,Cirsium_palustre,34,total abundance per plant species,680
225,8,2010,SarahMullen_Skrine1_10,Trifolium_pratense,63,total abundance per plant species,945
188,7,2010,SarahMullen_Skrine1_10,Plantago_lanceolata,85,total abundance per plant species,3400
214,8,2010,SarahMullen_Skrine1_10,Potentilla_erecta,99,total abundance per plant species,1485
214,8,2010,SarahMullen_Skrine1_10,Thymus_polytrichus,114,total abundance per plant species,456
146,5,2010,SarahMullen_Skrine1_10,Leontodon_saxatilis,144,total abundance per plant species,3600
146,5,2010,SarahMullen_Skrine1_10,Potentilla_erecta,284,total abundance per plant species,4260
167,6,2010,SarahMullen_Skrine1_10,Euphrasia_sp,476,total abundance per plant species,4760
168,6,2010,SarahMullen_Skrine2_10,Leontodon_saxatilis,4,total abundance per plant species,100
198,7,2010,SarahMullen_Skrine2_10,Ranunculus_repens,11,total abundance per plant species,330
148,5,2010,SarahMullen_Skrine2_10,Cirsium_palustre,21,total abundance per plant species,420
197,7,2010,SarahMullen_Skrine2_10,Cirsium_palustre,28,total abundance per plant species,560
204,7,2010,SarahMullen_Tibarney_10,Cirsium_palustre,11,total abundance per plant species,220
161,6,2010,SarahMullen_Tibarney_10,Cirsium_palustre,21,total abundance per plant species,420
222,8,2010,SarahMullen_Tibarney_10,Leontodon_saxatilis,27,total abundance per plant species,675
217,8,2010,SarahMullen_Tibarney_10,Prunella_vulgaris,30,total abundance per plant species,450
135,5,2010,SarahMullen_Tibarney_10,Ranunculus_repens,31,total abundance per plant species,930
223,8,2010,SarahMullen_Tibarney_10,Ranunculus_acris,33,total abundance per plant species,825
195,7,2010,SarahMullen_Tibarney_10,Trifolium_pratense,110,total abundance per plant species,1650
195,7,2010,SarahMullen_Tibarney_10,Lotus_corniculatus,118,total abundance per plant species,1888
227,8,2010,SarahMullen_Tibarney_10,Trifolium_repens,426,total abundance per plant species,5538
225,8,2010,SarahMullen_Turrock_10,Carex_panicea,NA,not collected,NA
238,8,2010,SarahMullen_Turrock_10,Pilosella_officinarum,NA,not collected,NA
191,7,2010,SarahMullen_Turrock_10,Galium_verum,2,total abundance per plant species,6
213,8,2010,SarahMullen_Turrock_10,Achillea_millefolium,2,total abundance per plant species,200
228,8,2010,SarahMullen_Turrock_10,Trifolium_pratense,4,total abundance per plant species,60
160,6,2010,SarahMullen_Turrock_10,Pedicularis_sylvatica,5,total abundance per plant species,125
192,7,2010,SarahMullen_Turrock_10,Cirsium_palustre,12,total abundance per plant species,240
193,7,2010,SarahMullen_Turrock_10,Bellis_perennis,22,total abundance per plant species,550
127,5,2010,SarahMullen_Turrock_10,Ranunculus_repens,26,total abundance per plant species,780
133,5,2010,SarahMullen_Turrock_10,Cerastium_fontanum,30,total abundance per plant species,210
168,6,2010,SarahMullen_Turrock_10,Antennaria_dioica,33,total abundance per plant species,396
210,7,2010,SarahMullen_Turrock_10,Plantago_lanceolata,41,total abundance per plant species,1640
209,7,2010,SarahMullen_Turrock_10,Leontodon_saxatilis,42,total abundance per plant species,1050
209,7,2010,SarahMullen_Turrock_10,Trifolium_repens,46,total abundance per plant species,598
223,8,2010,SarahMullen_Turrock_10,Trifolium_repens,46,total abundance per plant species,598
148,5,2010,SarahMullen_Turrock_10,Leontodon_saxatilis,78,total abundance per plant species,1950
214,8,2010,SarahMullen_Turrock_10,Pedicularis_sylvatica,188,total abundance per plant species,4700
145,5,2010,SarahMullen_Turrock_10,Cirsium_palustre,210,total abundance per plant species,4200
195,7,2010,SarahMullen_Turrock_10,Trifolium_pratense,255,total abundance per plant species,3825
201,7,2010,SarahMullen_Turrock_10,Euphrasia_sp,359,total abundance per plant species,3590
185,7,2011,AoifeO'Rourke_Ark_11,Plantago_lanceolata,NA,not collected,NA
217,8,2011,AoifeO'Rourke_Ark_11,Leontodon_hispidus,NA,not collected,NA
260,9,2011,AoifeO'Rourke_Ark_11,Galium_verum,NA,not collected,NA
130,5,2011,AoifeO'Rourke_Ark_11,Leontodon_saxatilis,NA,not collected,NA
225,8,2011,AoifeO'Rourke_Ark_11,Lotus_corniculatus,NA,not collected,NA
176,6,2011,AoifeO'Rourke_Ark_11,Pilosella_officinarum,NA,not collected,NA
176,6,2011,AoifeO'Rourke_Ark_11,Polygala_vulgaris,NA,not collected,NA
217,8,2011,AoifeO'Rourke_Ark_11,Lotus_corniculatus,NA,not collected,NA
217,8,2011,AoifeO'Rourke_Ark_11,Knautia_arvensis,NA,not collected,NA
147,5,2011,AoifeO'Rourke_Ark_11,Lotus_corniculatus,NA,not collected,NA
223,8,2011,AoifeO'Rourke_Ark_11,Rubus_fruticosus,NA,not collected,NA
223,8,2011,AoifeO'Rourke_Ark_11,Hypochaeris_radicata,NA,not collected,NA
214,8,2011,AoifeO'Rourke_Ark_11,Anthyllis_vulneraria,NA,not collected,NA
221,8,2011,AoifeO'Rourke_Ark_11,Hypochaeris_radicata,NA,not collected,NA
227,8,2011,AoifeO'Rourke_Ark_11,Anthyllis_vulneraria,NA,not collected,NA
209,7,2011,AoifeO'Rourke_Ark_11,Lotus_corniculatus,NA,not collected,NA
237,8,2011,AoifeO'Rourke_Ark_11,Ononis_repens,NA,not collected,NA
229,8,2011,AoifeO'Rourke_Bal_11,Hypochaeris_radicata,NA,not collected,NA
223,8,2011,AoifeO'Rourke_Bal_11,Daucus_carota,NA,not collected,NA
193,7,2011,AoifeO'Rourke_Bal_11,Leontodon_saxatilis,NA,not collected,NA
288,10,2011,AoifeO'Rourke_Bal_11,Rubus_fruticosus,NA,not collected,NA
258,9,2011,AoifeO'Rourke_Bal_11,Thymus_polytrichus,NA,not collected,NA
175,6,2011,AoifeO'Rourke_Bal_11,Lotus_corniculatus,NA,not collected,NA
241,8,2011,AoifeO'Rourke_Bal_11,Anthyllis_vulneraria,NA,not collected,NA
283,10,2011,AoifeO'Rourke_Bal_11,Lotus_corniculatus,NA,not collected,NA
215,8,2011,AoifeO'Rourke_Bal_11,Thymus_polytrichus,NA,not collected,NA
125,5,2011,AoifeO'Rourke_Bal_11,Hypochaeris_radicata,NA,not collected,NA
161,6,2011,AoifeO'Rourke_Bal_11,Plantago_lanceolata,NA,not collected,NA
194,7,2011,AoifeO'Rourke_Bal_11,Rubus_fruticosus,NA,not collected,NA
178,6,2011,AoifeO'Rourke_Bal_11,Ononis_repens,NA,not collected,NA
218,8,2011,AoifeO'Rourke_Bal_11,Rhinanthus_minor,NA,not collected,NA
198,7,2011,AoifeO'Rourke_Bal_11,Lotus_corniculatus,NA,not collected,NA
175,6,2011,AoifeO'Rourke_Bal_11,Ononis_repens,NA,not collected,NA
175,6,2011,AoifeO'Rourke_Bal_11,Trifolium_pratense,NA,not collected,NA
175,6,2011,AoifeO'Rourke_Bal_11,Trifolium_repens,NA,not collected,NA
222,8,2011,AoifeO'Rourke_Bal_11,Rosa_pimpernellifolia,NA,not collected,NA
189,7,2011,AoifeO'Rourke_Cah_11,Hypochaeris_radicata,NA,not collected,NA
155,6,2011,AoifeO'Rourke_Cah_11,Lotus_corniculatus,NA,not collected,NA
186,7,2011,AoifeO'Rourke_Cah_11,Pilosella_officinarum,NA,not collected,NA
227,8,2011,AoifeO'Rourke_Cah_11,Anacamptis_pyramidalis,NA,not collected,NA
217,8,2011,AoifeO'Rourke_Cah_11,Anthyllis_vulneraria,NA,not collected,NA
217,8,2011,AoifeO'Rourke_Cah_11,Lotus_corniculatus,NA,not collected,NA
192,7,2011,AoifeO'Rourke_Cah_11,Centaurium_littorale,NA,not collected,NA
176,6,2011,AoifeO'Rourke_Cah_11,Pilosella_officinarum,NA,not collected,NA
216,8,2011,AoifeO'Rourke_Cah_11,Crepis_sp,NA,not collected,NA
193,7,2011,AoifeO'Rourke_Cur_11,Ranunculus_bulbosus,NA,not collected,NA
243,8,2011,AoifeO'Rourke_Cur_11,Daucus_carota,NA,not collected,NA
242,8,2011,AoifeO'Rourke_Cur_11,Anthyllis_vulneraria,NA,not collected,NA
258,9,2011,AoifeO'Rourke_Cur_11,Lotus_corniculatus,NA,not collected,NA
221,8,2011,AoifeO'Rourke_Cur_11,Anacamptis_pyramidalis,NA,not collected,NA
199,7,2011,AoifeO'Rourke_Cur_11,Anthyllis_vulneraria,NA,not collected,NA
225,8,2011,AoifeO'Rourke_Cur_11,Crepis_sp,NA,not collected,NA
180,6,2011,AoifeO'Rourke_Cur_11,Hypochaeris_radicata,NA,not collected,NA
216,8,2011,AoifeO'Rourke_Cur_11,Lotus_corniculatus,NA,not collected,NA
196,7,2011,AoifeO'Rourke_Cur_11,Pilosella_officinarum,NA,not collected,NA
175,6,2011,AoifeO'Rourke_Cur_11,Thymus_polytrichus,NA,not collected,NA
167,6,2011,AoifeO'Rourke_Cur_11,Plantago_lanceolata,NA,not collected,NA
223,8,2011,AoifeO'Rourke_Cur_11,Pilosella_officinarum,NA,not collected,NA
215,8,2011,AoifeO'Rourke_Cur_11,Rhinanthus_minor,NA,not collected,NA
208,7,2011,AoifeO'Rourke_Cur_11,Hypochaeris_radicata,NA,not collected,NA
227,8,2011,AoifeO'Rourke_Cur_11,Ononis_repens,NA,not collected,NA
210,7,2011,AoifeO'Rourke_Cur_11,Thymus_polytrichus,NA,not collected,NA
238,8,2011,AoifeO'Rourke_Cur_11,Trifolium_pratense,NA,not collected,NA
209,7,2011,AoifeO'Rourke_Kil_11,Lotus_corniculatus,NA,not collected,NA
189,7,2011,AoifeO'Rourke_Kil_11,Crepis_sp,NA,not collected,NA
288,10,2011,AoifeO'Rourke_Kil_11,Anthyllis_vulneraria,NA,not collected,NA
227,8,2011,AoifeO'Rourke_Kil_11,Lotus_corniculatus,NA,not collected,NA
185,7,2011,AoifeO'Rourke_Kil_11,Anthyllis_vulneraria,NA,not collected,NA
209,7,2011,AoifeO'Rourke_Kil_11,Hypochaeris_radicata,NA,not collected,NA
176,6,2011,AoifeO'Rourke_Kil_11,Leontodon_saxatilis,NA,not collected,NA
175,6,2011,AoifeO'Rourke_Kil_11,Pilosella_officinarum,NA,not collected,NA
214,8,2011,AoifeO'Rourke_Kil_11,Rubus_fruticosus,NA,not collected,NA
168,6,2011,AoifeO'Rourke_Kil_11,Hypochaeris_radicata,NA,not collected,NA
208,7,2011,AoifeO'Rourke_Kil_11,Leontodon_saxatilis,NA,not collected,NA
145,5,2011,AoifeO'Rourke_Kil_11,Crepis_sp,NA,not collected,NA
209,7,2011,AoifeO'Rourke_Kil_11,Daucus_carota,NA,not collected,NA
223,8,2011,AoifeO'Rourke_Kil_11,Leontodon_saxatilis,NA,not collected,NA
223,8,2011,AoifeO'Rourke_Kil_11,Taraxacum_agg,NA,not collected,NA
154,6,2011,AoifeO'Rourke_Kil_11,Thymus_polytrichus,NA,not collected,NA
149,5,2011,AoifeO'Rourke_Mag_11,Lotus_corniculatus,NA,not collected,NA
245,9,2011,AoifeO'Rourke_Mag_11,Anthyllis_vulneraria,NA,not collected,NA
218,8,2011,AoifeO'Rourke_Mag_11,Galium_verum,NA,not collected,NA
210,7,2011,AoifeO'Rourke_Mag_11,Hypochaeris_radicata,NA,not collected,NA
219,8,2011,AoifeO'Rourke_Mag_11,Lotus_corniculatus,NA,not collected,NA
222,8,2011,AoifeO'Rourke_Mag_11,Ononis_repens,NA,not collected,NA
169,6,2011,AoifeO'Rourke_Mag_11,Rubus_fruticosus,NA,not collected,NA
204,7,2011,AoifeO'Rourke_Mag_11,Lotus_corniculatus,NA,not collected,NA
222,8,2011,AoifeO'Rourke_Mag_11,Taraxacum_agg,NA,not collected,NA
215,8,2011,AoifeO'Rourke_Mag_11,Anthyllis_vulneraria,NA,not collected,NA
220,8,2011,AoifeO'Rourke_Mag_11,Anthyllis_vulneraria,NA,not collected,NA
260,9,2011,AoifeO'Rourke_Mag_11,Hypochaeris_radicata,NA,not collected,NA
215,8,2011,AoifeO'Rourke_Mag_11,Leontodon_saxatilis,NA,not collected,NA
193,7,2011,AoifeO'Rourke_Mag_11,Eryngium_maritimum,NA,not collected,NA
268,9,2011,AoifeO'Rourke_Mag_11,Thymus_polytrichus,NA,not collected,NA
282,10,2011,AoifeO'Rourke_Rav_11,Crepis_sp,NA,not collected,NA
214,8,2011,AoifeO'Rourke_Rav_11,Daucus_carota,NA,not collected,NA
222,8,2011,AoifeO'Rourke_Rav_11,Euphrasia_sp,NA,not collected,NA
184,7,2011,AoifeO'Rourke_Rav_11,Galium_verum,NA,not collected,NA
225,8,2011,AoifeO'Rourke_Rav_11,Hypochaeris_radicata,NA,not collected,NA
130,5,2011,AoifeO'Rourke_Rav_11,Leontodon_saxatilis,NA,not collected,NA
148,5,2011,AoifeO'Rourke_Rav_11,Lotus_corniculatus,NA,not collected,NA
219,8,2011,AoifeO'Rourke_Rav_11,Pilosella_officinarum,NA,not collected,NA
217,8,2011,AoifeO'Rourke_Rav_11,Senecio_jacobaea,NA,not collected,NA
175,6,2011,AoifeO'Rourke_Rav_11,Lotus_corniculatus,NA,not collected,NA
182,7,2011,AoifeO'Rourke_Rav_11,Pilosella_officinarum,NA,not collected,NA
195,7,2011,AoifeO'Rourke_Rav_11,Vicia_sativa,NA,not collected,NA
228,8,2011,AoifeO'Rourke_Rav_11,Anacamptis_pyramidalis,NA,not collected,NA
186,7,2011,AoifeO'Rourke_Rav_11,Anthyllis_vulneraria,NA,not collected,NA
210,7,2011,AoifeO'Rourke_Rav_11,Hypochaeris_radicata,NA,not collected,NA
210,7,2011,AoifeO'Rourke_Rav_11,Lotus_corniculatus,NA,not collected,NA
209,7,2011,AoifeO'Rourke_Rav_11,Anthyllis_vulneraria,NA,not collected,NA
237,8,2011,AoifeO'Rourke_Rav_11,Leontodon_saxatilis,NA,not collected,NA
229,8,2011,AoifeO'Rourke_Rav_11,Pilosella_officinarum,NA,not collected,NA
153,6,2011,AoifeO'Rourke_Rav_11,Ononis_repens,NA,not collected,NA
158,6,2011,AoifeO'Rourke_Rav_11,Thymus_polytrichus,NA,not collected,NA
160,6,2011,AoifeO'Rourke_Rav_11,Viola_lutea,NA,not collected,NA
214,8,2011,AoifeO'Rourke_Sal_11,Hypochaeris_radicata,NA,not collected,NA
185,7,2011,AoifeO'Rourke_Sal_11,Lotus_corniculatus,NA,not collected,NA
218,8,2011,AoifeO'Rourke_Sal_11,Knautia_arvensis,NA,not collected,NA
219,8,2011,AoifeO'Rourke_Sal_11,Galium_verum,NA,not collected,NA
160,6,2011,AoifeO'Rourke_Sal_11,Leontodon_saxatilis,NA,not collected,NA
190,7,2011,AoifeO'Rourke_Sal_11,Lotus_corniculatus,NA,not collected,NA
221,8,2011,AoifeO'Rourke_Sal_11,Ranunculus_acris,NA,not collected,NA
161,6,2011,AoifeO'Rourke_Sal_11,Hypochaeris_radicata,NA,not collected,NA
225,8,2011,AoifeO'Rourke_Sal_11,Knautia_arvensis,NA,not collected,NA
168,6,2011,AoifeO'Rourke_Sal_11,Leontodon_saxatilis,NA,not collected,NA
198,7,2011,AoifeO'Rourke_Sal_11,Lotus_corniculatus,NA,not collected,NA
169,6,2011,AoifeO'Rourke_Sal_11,Ononis_repens,NA,not collected,NA
169,6,2011,AoifeO'Rourke_Sal_11,Thymus_polytrichus,NA,not collected,NA
170,6,2011,AoifeO'Rourke_Sal_11,Trifolium_repens,NA,not collected,NA
172,6,2011,SarahMullen_AllSaints_11,Vicia_cracca,NA,not collected,NA
223,8,2011,SarahMullen_AllSaints_11,Leontodon_saxatilis,1,total abundance per plant species,25
181,6,2011,SarahMullen_AllSaints_11,Daucus_carota,5,total abundance per plant species,625
176,6,2011,SarahMullen_AllSaints_11,Trifolium_repens,8,total abundance per plant species,104
148,5,2011,SarahMullen_AllSaints_11,Ranunculus_repens,8,total abundance per plant species,240
198,7,2011,SarahMullen_AllSaints_11,Rhinanthus_minor,15,total abundance per plant species,225
156,6,2011,SarahMullen_AllSaints_11,Leucanthemum_vulgare,17,total abundance per plant species,850
239,8,2011,SarahMullen_AllSaints_11,Leontodon_saxatilis,18,total abundance per plant species,450
226,8,2011,SarahMullen_AllSaints_11,Potentilla_erecta,21,total abundance per plant species,315
168,6,2011,SarahMullen_AllSaints_11,Prunella_vulgaris,32,total abundance per plant species,480
223,8,2011,SarahMullen_AllSaints_11,Lotus_corniculatus,42,total abundance per plant species,672
189,7,2011,SarahMullen_AllSaints_11,Knautia_arvensis,48,total abundance per plant species,1920
196,7,2011,SarahMullen_AllSaints_11,Thymus_polytrichus,50,total abundance per plant species,200
195,7,2011,SarahMullen_AllSaints_11,Leontodon_saxatilis,52,total abundance per plant species,1300
238,8,2011,SarahMullen_AllSaints_11,Trifolium_pratense,55,total abundance per plant species,825
209,7,2011,SarahMullen_AllSaints_11,Trifolium_pratense,58,total abundance per plant species,870
214,8,2011,SarahMullen_AllSaints_11,Galium_verum,59,total abundance per plant species,177
214,8,2011,SarahMullen_AllSaints_11,Ranunculus_repens,90,total abundance per plant species,2700
217,8,2011,SarahMullen_AllSaints_11,Pimpinella_saxifraga,97,total abundance per plant species,737.2
218,8,2011,SarahMullen_AllSaints_11,Lotus_corniculatus,229,total abundance per plant species,3664
219,8,2011,SarahMullen_AllSaints_11,Linum_catharticum,262,total abundance per plant species,1048
221,8,2011,SarahMullen_AllSaints_11,Centaurea_nigra,846,total abundance per plant species,33840
221,8,2011,SarahMullen_Ardmullen_11,Ranunculus_repens,NA,not collected,NA
226,8,2011,SarahMullen_Ardmullen_11,Vicia_cracca,NA,not collected,NA
198,7,2011,SarahMullen_Ardmullen_11,Trifolium_pratense,3,total abundance per plant species,45
169,6,2011,SarahMullen_Ardmullen_11,Trifolium_pratense,9,total abundance per plant species,135
223,8,2011,SarahMullen_Ardmullen_11,Pimpinella_saxifraga,11,total abundance per plant species,83.6
188,7,2011,SarahMullen_Ardmullen_11,Hypericum_sp,11,total abundance per plant species,275
144,5,2011,SarahMullen_Ardmullen_11,Potentilla_erecta,26,total abundance per plant species,390
173,6,2011,SarahMullen_Ardmullen_11,Potentilla_erecta,28,total abundance per plant species,420
217,8,2011,SarahMullen_Ardmullen_11,Cirsium_palustre,42,total abundance per plant species,840
188,7,2011,SarahMullen_Ardmullen_11,Cirsium_palustre,220,total abundance per plant species,4400
198,7,2011,SarahMullen_Ardmullen_11,Trifolium_repens,259,total abundance per plant species,3367
208,7,2011,SarahMullen_Ardmullen_11,Trifolium_repens,561,total abundance per plant species,7293
196,7,2011,SarahMullen_Ballinasloe_11,Cirsium_palustre,1,total abundance per plant species,20
145,5,2011,SarahMullen_Ballinasloe_11,Cirsium_arvense,1,total abundance per plant species,25
195,7,2011,SarahMullen_Ballinasloe_11,Cirsium_vulgare,2,total abundance per plant species,60
192,7,2011,SarahMullen_Ballinasloe_11,Taraxacum_agg,2,total abundance per plant species,100
154,6,2011,SarahMullen_Ballinasloe_11,Trifolium_repens,87,total abundance per plant species,1131
213,8,2011,SarahMullen_Ballinasloe_11,Leontodon_saxatilis,243,total abundance per plant species,6075
238,8,2011,SarahMullen_Ballyduff_11,Plantago_lanceolata,NA,not collected,NA
194,7,2011,SarahMullen_Ballyduff_11,Potentilla_erecta,3,total abundance per plant species,45
231,8,2011,SarahMullen_Ballyduff_11,Trifolium_pratense,16,total abundance per plant species,240
270,9,2011,SarahMullen_Ballyduff_11,Medicago_lupulina,39,total abundance per plant species,312
193,7,2011,SarahMullen_Ballyduff_11,Cirsium_vulgare,45,total abundance per plant species,1350
188,7,2011,SarahMullen_Ballyduff_11,Leontodon_saxatilis,45,total abundance per plant species,1125
201,7,2011,SarahMullen_Ballyduff_11,Ranunculus_repens,48,total abundance per plant species,1440
184,7,2011,SarahMullen_Ballyduff_11,Prunella_vulgaris,54,total abundance per plant species,810
139,5,2011,SarahMullen_Ballyduff_11,Lotus_corniculatus,61,total abundance per plant species,976
225,8,2011,SarahMullen_Ballyduff_11,Plantago_lanceolata,69,total abundance per plant species,2760
225,8,2011,SarahMullen_Ballyduff_11,Prunella_vulgaris,148,total abundance per plant species,2220
193,7,2011,SarahMullen_Ballyduff_11,Trifolium_repens,232,total abundance per plant species,3016
244,9,2011,SarahMullen_Ballyduff_11,Leontodon_saxatilis,477,total abundance per plant species,11925
193,7,2011,SarahMullen_Ballyduff_11,Euphrasia_sp,2052,total abundance per plant species,20520
153,6,2011,SarahMullen_Breeole_11,Knautia_arvensis,NA,not collected,NA
192,7,2011,SarahMullen_Breeole_11,Leontodon_saxatilis,1,total abundance per plant species,25
240,8,2011,SarahMullen_Breeole_11,Gymnadenia_conopsea,1,total abundance per plant species,150
160,6,2011,SarahMullen_Breeole_11,Centaurea_nigra,6,total abundance per plant species,240
158,6,2011,SarahMullen_Breeole_11,Hypericum_sp,8,total abundance per plant species,200
218,8,2011,SarahMullen_Breeole_11,Hypericum_sp,9,total abundance per plant species,225
190,7,2011,SarahMullen_Breeole_11,Cirsium_palustre,19,total abundance per plant species,380
209,7,2011,SarahMullen_Breeole_11,Leontodon_saxatilis,19,total abundance per plant species,475
225,8,2011,SarahMullen_Breeole_11,Trifolium_pratense,25,total abundance per plant species,375
225,8,2011,SarahMullen_Breeole_11,Plantago_lanceolata,31,total abundance per plant species,1240
185,7,2011,SarahMullen_Breeole_11,Plantago_lanceolata,31,total abundance per plant species,1240
216,8,2011,SarahMullen_Breeole_11,Polygala_vulgaris,45,total abundance per plant species,360
154,6,2011,SarahMullen_Breeole_11,Leontodon_saxatilis,105,total abundance per plant species,2625
222,8,2011,SarahMullen_Breeole_11,Potentilla_erecta,208,total abundance per plant species,3120
195,7,2011,SarahMullen_Breeole_11,Carlina_vulgaris,257,total abundance per plant species,10280
228,8,2011,SarahMullen_Breeole_11,Lotus_corniculatus,292,total abundance per plant species,4672
154,6,2011,SarahMullen_Breeole_11,Potentilla_erecta,1518,total abundance per plant species,22770
210,7,2011,SarahMullen_Breeole_11,Potentilla_erecta,3105,total abundance per plant species,46575
183,7,2011,SarahMullen_Carrownalassan_11,Linum_catharticum,NA,not collected,NA
245,9,2011,SarahMullen_Carrownalassan_11,Ranunculus_repens,2,total abundance per plant species,60
270,9,2011,SarahMullen_Carrownalassan_11,Achillea_millefolium,4,total abundance per plant species,400
185,7,2011,SarahMullen_Carrownalassan_11,Ranunculus_repens,5,total abundance per plant species,150
190,7,2011,SarahMullen_Carrownalassan_11,Trifolium_repens,8,total abundance per plant species,104
161,6,2011,SarahMullen_Carrownalassan_11,Leucanthemum_vulgare,9,total abundance per plant species,450
225,8,2011,SarahMullen_Carrownalassan_11,Achillea_millefolium,11,total abundance per plant species,1100
226,8,2011,SarahMullen_Carrownalassan_11,Cirsium_palustre,12,total abundance per plant species,240
226,8,2011,SarahMullen_Carrownalassan_11,Prunella_vulgaris,28,total abundance per plant species,420
168,6,2011,SarahMullen_Carrownalassan_11,Cirsium_palustre,29,total abundance per plant species,580
170,6,2011,SarahMullen_Carrownalassan_11,Plantago_lanceolata,44,total abundance per plant species,1760
171,6,2011,SarahMullen_Carrownalassan_11,Cirsium_arvense,48,total abundance per plant species,1200
147,5,2011,SarahMullen_Carrownalassan_11,Lotus_corniculatus,50,total abundance per plant species,800
178,6,2011,SarahMullen_Carrownalassan_11,Trifolium_repens,54,total abundance per plant species,702
